Hour,Electric Load (kW)
441,1234.306
442,1279.828
443,1292.368
444,1303.954
445,1265.396
446,1303.998
447,1308.753
448,1310.957
449,1275.066
450,1255.937
451,914.992
452,904.334
453,737.505
454,704.553
455,607.941
456,626.978
457,615.078
458,622.67
459,621.817
460,610.02
461,741.395
462,742.369
463,1027.702
464,1174.999
465,1213.502
466,1262.637
467,1305.117
468,1319.333
469,1288.984
470,1328.402
471,1329.028
472,1308.706
473,1280.581
474,1287.251
475,950.946
476,953.774
477,797.899
478,748.279
479,643.069
480,657.095
481,648.09
482,640.195
483,628.618
484,620.921
485,650.771
486,651.101
487,741.711
488,870.11
489,881.632
490,1001.47
491,1002.955
492,1021.047
493,1002.601
494,974.921
495,940.614
496,841.872
497,853.906
498,832.319
499,781.059
500,778.196
501,642.624
502,647.668
503,614.267
504,613.727
505,581.745
506,583.648
507,586.342
508,579.005
509,604.66
510,608.969
511,693.206
512,675.348
513,753.929
514,747.583
515,755.729
516,758.095
517,764.012
518,753.268
519,753.504
520,751.172
521,724.482
522,688.51
523,642.29
524,634.868
525,605.489
526,606.303
527,575.446
528,578.463
529,583.578
530,587.186
531,593.52
532,598.935
533,733.559
534,741.809
535,1020.834
536,1155.142
537,1184.076
538,1208.403
539,1218.143
540,1227.06
541,1191.724
542,1223.199
543,1225.674
544,1224.454
545,1238.087
546,1262.13
547,935.839
548,928.73
549,760.209
550,721.921
551,601.147
552,595.633
553,591.139
554,594.968
555,597.478
556,599.05
557,736.082
558,732.798
559,1009.599
560,1148.622
561,1185.31
562,1228.053
563,1233.567
564,1230.886
565,1193.749
566,1236.497
567,1234.221
568,1227.017
569,1236.029
570,1253.641
571,922.826
572,913.13
573,749.417
574,717.224
575,612.487
576,614.28
577,607.642
578,606.436
579,608.149
580,611.929
581,741.269
582,739.404
583,1023.926
584,1170.934
585,1203.953
586,1234.628
587,1243.922
588,1250.609
589,1196.835
590,1225.568
591,1239.731
592,1243.384
593,1230.993
594,1239.023
595,915.533
596,910.255
597,740.347
598,704.236
599,595.919
600,596.489
601,583.291
602,591.272
603,595.443
604,591.705
605,725.913
606,728.67
607,1010.128
608,1151.963
609,1189.399
610,1224.416
611,1227.079
612,1230.879
613,1187.496
614,1229.495
615,1239.432
616,1236.741
617,1242.644
618,1247.567
619,913.377
620,906.397
621,738.883
622,699.542
623,586.897
624,585.777
625,573.162
626,576.646
627,574.813
628,573.278
629,716.371
630,732.838
631,1023.024
632,1153.456
633,1191.511
634,1249.553
635,1267.848
636,1271.087
637,1235.971
638,1273.542
639,1274.384
640,1271.002
641,1273.41
642,1289.731
643,940.804
644,922.123
645,761.396
646,737.921
647,634.52
648,617.146
649,603.937
650,615.799
651,622.75
652,622.963
653,649.878
654,647.664
655,739.067
656,864.892
657,858.537
658,967.587
659,970.969
660,975.337
661,946.529
662,944.359
663,960.366
664,867.737
665,856.586
666,820.313
667,769.442
668,765.85
669,623.829
670,619.445
671,587.13
672,588.344
673,559.131
674,559.066
675,558.584
676,558.399
677,591.314
678,590.647
679,685.919
680,677.415
681,757.501
682,751.393
683,761.454
684,763.35
685,761.172
686,753.286
687,751.107
688,748.899
689,723.378
690,686.464
691,638.229
692,630.841
693,599.296
694,598.755
695,567.892
696,568.814
697,573.05
698,573.318
699,573.305
700,571.456
701,706.749
702,708.64
703,993.712
704,1135.001
705,1171.122
706,1205.057
707,1214.021
708,1217.688
709,1177.604
710,1211.132
711,1210.714
712,1211.038
713,1218.331
714,1237.19
715,917.652
716,908.5
717,739.315
718,698.642
719,586.23
720,586.548
721,576.004
722,579.452
723,580.728
724,580.213
725,713.166
726,715.563
727,999.622
728,1139.399
729,1173.061
730,1208.023
731,1220.456
732,1222.561
733,1177.954
734,1213.053
735,1212.586
736,1216.002
737,1224.283
738,1237.827
739,913.852
740,905.223
741,738.416
742,697.018
743,584.051
744,585.033
745,572.568
746,572.511
747,573.932
748,577.801
749,711.593
750,710.392
751,994.879
752,1139.031
753,1176.228
754,1210.476
755,1220.381
756,1228.535
757,1199.425
758,1237.077
759,1234.679
